post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47616361,Google releases Gemma 4 open models,technology,658,182,jeffmcjunkin,2026-04-03 00:56:57,0.27617602427921095,True
47618189,Tailscale's New macOS Home,technology,76,28,tosh,2026-04-03 00:56:58,0.36363636363636365,False
47618176,George Goble died recently – known for first dual-CPU-Unix and fast BBQ lighting,worldnews,33,6,finaard,2026-04-03 00:56:59,0.17647058823529413,False
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,311,104,pretext,2026-04-03 00:57:00,0.3333333333333333,True
47613981,LinkedIn is illegally searching your computer,technology,1299,591,digitalWestie,2026-04-03 00:57:02,0.4546153846153846,True
47618120,Hugo's New CSS Powers,sports,16,2,speckx,2026-04-03 00:57:03,0.11764705882352941,False
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,technology,336,82,AbuAssar,2026-04-03 00:57:05,0.2433234421364985,True
47572288,JSON Canvas Spec,science,33,5,tobr,2026-04-03 00:57:06,0.14705882352941177,False
47618100,Yggdrasil Network,entertainment,11,0,Velocifyer,2026-04-03 00:57:07,0.0,False
47613078,Inside Nepal's Fake Rescue Racket,sports,210,83,lode,2026-04-03 00:57:09,0.3933649289099526,True
47618324,Ask HN: European Tech Alternatives?,technology,43,15,BrunoBernardino,2026-04-03 00:57:10,0.3409090909090909,False
47611921,Significant Raise of Reports,technology,234,119,stratos123,2026-04-03 00:57:11,0.5063829787234042,True
47611721,IBM Announces Strategic Collaboration with Arm,science,240,152,bonzini,2026-04-03 00:57:12,0.6307053941908713,True
47614100,'Backrooms' and the Rise of the Institutional Gothic,entertainment,122,60,anarbadalov,2026-04-03 00:57:13,0.4878048780487805,False
47615449,Artemis II will use laser beams to live-stream 4K moon footage at 260 Mbps,worldnews,235,97,speckx,2026-04-03 00:57:14,0.4110169491525424,True
47615434,Delve allegedly forked an open-source tool and sold it as its own,sports,203,97,nickvec,2026-04-03 00:57:16,0.47549019607843135,True
47562762,Significant progress made on Xbox 360 recompilation,science,6,0,tetrisgm,2026-04-03 00:57:17,0.0,False
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,154,72,Growtika,2026-04-03 00:57:18,0.4645161290322581,False
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,617,319,novaRom,2026-04-03 00:57:19,0.5161812297734628,True
47616704,Modern SQLite: Features You Didn't Know It Had,sports,109,22,thunderbong,2026-04-03 00:57:20,0.2,False
47575554,"An Example of Statistical Investigation of the Text Eugene Onegin – Markov, 1913 [pdf]",science,23,1,jxmorris12,2026-04-03 00:57:22,0.041666666666666664,False
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,8,0,sedev,2026-04-03 00:57:23,0.0,False
47547938,Quadratic Micropass Type Inference,entertainment,18,5,simvux,2026-04-03 00:57:24,0.2631578947368421,False
47611481,Bringing Clojure programming to Enterprise (2021),worldnews,173,97,smartmic,2026-04-03 00:57:26,0.5574712643678161,True
47609694,Email obfuscation: What works in 2026?,technology,308,90,jaden,2026-04-03 00:57:27,0.2912621359223301,True
47582987,Gone (Almost) Phishin',sports,149,70,luu,2026-04-03 00:57:28,0.4666666666666667,False
47616622,EmDash: A Fresh Take on CMS,science,43,9,taubek,2026-04-03 00:57:29,0.20454545454545456,False
47540441,Reinventing the pull request,entertainment,72,57,bkolobara,2026-04-03 00:57:30,0.7808219178082192,False
47563486,Emacs-libgterm: Terminal emulator for Emacs using libghostty-vt,worldnews,74,20,signa11,2026-04-03 00:57:32,0.26666666666666666,False
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,technology,130,41,jackson-mcd,2026-04-03 00:57:33,0.31297709923664124,False
47618322,Mistral secures $830M in debt financing to fund AI data center,technology,9,0,gmays,2026-04-03 00:57:34,0.0,False
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,691,316,hkmaxpro,2026-04-03 00:57:35,0.45664739884393063,True
47612558,Enabling Codex to Analyze Two Decades of Hacker News Data,technology,61,26,ronfriedhaber,2026-04-03 00:57:36,0.41935483870967744,False
47603657,Artemis II Launch Day Updates,science,1062,914,apitman,2026-04-03 00:57:37,0.8598306679209784,True
47616050,March heat in American west has left snowpack at record-low levels,entertainment,85,42,ijidak,2026-04-03 00:57:38,0.4883720930232558,False
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,69,49,rdme,2026-04-03 00:57:39,0.7,False
47617463,Users say Adobe Creative Cloud rewrote hosts file to detect installed app,technology,17,1,bobsoap,2026-04-03 00:57:41,0.05555555555555555,False
47618084,Cursor 3,worldnews,77,70,adamfeldman,2026-04-03 00:57:42,0.8974358974358975,False
47588103,"On the trail of ancient art, deep in the Sahara",technology,22,2,bookofjoe,2026-04-03 00:57:43,0.08695652173913043,False
47617027,A forecast of the fair market value of SpaceX's businesses,technology,88,133,ddp26,2026-04-03 00:57:44,1.4943820224719102,False
47579942,Built a cheap DIY fan controller because my motherboard never had working PWM,sports,64,26,bobsterlobster,2026-04-03 00:57:45,0.4,False
47618581,Amazon to add 3.5% fuel and logistics surcharge as Iran war raises energy prices,technology,5,0,lehi,2026-04-03 00:57:46,0.0,False
47609882,Subscription bombing and how to mitigate it,science,262,168,homelessdino,2026-04-03 00:57:48,0.6387832699619772,True
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,technology,170,110,mooreds,2026-04-03 00:57:49,0.6432748538011696,True
47616665,Group Pushing Age Verification for AI Turns Out to Be Backed by OpenAI,technology,21,0,SilverElfin,2026-04-03 00:57:50,0.0,False
47617491,Artemis II astronaut finds two Outlook instances running on computers,technology,10,1,taubek,2026-04-03 00:57:51,0.09090909090909091,False
47611809,New laws to make it easier to cancel subscriptions and get refunds,worldnews,142,62,chrisjj,2026-04-03 00:57:52,0.43356643356643354,False
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,133,108,kasparnoor,2026-04-03 00:57:53,0.8059701492537313,False
47610777,Quad9 Enables DNS over HTTP/3 and DNS over QUIC,sports,38,8,itchingsphynx,2026-04-03 00:57:54,0.20512820512820512,False
47578582,What Gödel Discovered (2020),science,90,26,qnleigh,2026-04-03 00:57:56,0.2857142857142857,False
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,40,1,nemoniac,2026-04-03 00:57:57,0.024390243902439025,False
47613447,CC leak: skills are better than I thought,worldnews,16,5,KaseKun,2026-04-03 00:57:59,0.29411764705882354,False
47610245,Things I Think I Think... Preferring Local OSS LLMs,technology,33,8,zdw,2026-04-03 00:58:01,0.23529411764705882,False
47573137,Order and Tension,sports,14,0,surprisetalk,2026-04-03 00:58:02,0.0,False
47576106,"Reverse Engineering Crazy Taxi, Part 2",science,75,8,wgreenberg,2026-04-03 00:58:03,0.10526315789473684,False
47602832,EmDash – A spiritual successor to WordPress that solves plugin security,worldnews,655,487,elithrar,2026-04-03 00:58:04,0.7423780487804879,True
47557385,The revenge of the data scientist,technology,164,35,hamelsmu,2026-04-03 00:58:05,0.21212121212121213,False
47608495,Quantum computing bombshells that are not April Fools,sports,250,94,Strilanc,2026-04-03 00:58:06,0.3745019920318725,True
47615876,Even GPT-5.2 Can't Count to Five: Zero-Error Horizons in Trustworthy LLMs,technology,49,68,daigoba66,2026-04-03 00:58:07,1.36,False
47604155,SpaceX files to go public,science,379,543,nutjob2,2026-04-03 00:58:09,1.4289473684210525,True
47613156,ReactOS Shows Improved Stability and 64-Bit Support at Chemnitz Linux Days 2026,entertainment,65,22,jeditobe,2026-04-03 00:58:10,0.3333333333333333,False
47616475,Haunting Photos Show the Aftermath of the Kursk Submarine Disaster in 2000,entertainment,18,0,mooreds,2026-04-03 00:58:11,0.0,False
47613272,Tracing Goroutines in Realtime with eBPF,worldnews,8,0,darccio,2026-04-03 00:58:12,0.0,False
47588476,"Trap a quantum object in a box – is it hard or soft, or is it black or white?",sports,8,0,allangoff,2026-04-03 00:58:13,0.0,False
47606840,DRAM pricing is killing the hobbyist SBC market,science,592,513,ingve,2026-04-03 00:58:15,0.8650927487352446,True
47609090,The Weather Channel – RetroCast,worldnews,300,55,typeofhuman,2026-04-03 00:58:16,0.18272425249169436,True
47608058,A new C++ back end for ocamlc,sports,228,20,glittershark,2026-04-03 00:58:17,0.08733624454148471,True
47584386,Fast and Gorgeous Erosion Filter,science,228,21,runevision,2026-04-03 00:58:18,0.09170305676855896,True
47610336,r/programming bans all discussion of LLM programming,technology,170,168,cryptoz,2026-04-03 00:58:19,0.9824561403508771,True
47615360,Japanese X is now America's favorite corner of the internet,entertainment,36,5,mikhael,2026-04-03 00:58:20,0.13513513513513514,False
47605494,Jax's true calling: Ray-Marching renderers on WebGL,worldnews,86,14,BenoitP,2026-04-03 00:58:21,0.16091954022988506,False
47605374,Scientists crack a 20-year nuclear mystery behind the creation of gold,sports,81,39,prabal97,2026-04-03 00:58:22,0.47560975609756095,False
47557921,Show HN: Git bayesect – Bayesian Git bisection for non-deterministic bugs,entertainment,325,44,hauntsaninja,2026-04-03 00:58:24,0.13496932515337423,True
47573450,Intuiting Pratt Parsing,science,160,47,signa11,2026-04-03 00:58:25,0.2919254658385093,False
47582220,Axios compromised on NPM – Malicious versions drop remote access trojan,worldnews,1921,797,mtud,2026-04-03 00:58:26,0.41467221644120705,True
47558073,Ariane 6 user's manual [pdf],sports,66,22,matthieu_bl,2026-04-03 00:58:27,0.3283582089552239,False
47616451,Medical bill analyzer that runs client-side (OCR and 3.3M CMS rules in-browser,science,7,5,abdusm,2026-04-03 00:58:28,0.625,False
47573138,Set the Line Before It's Crossed,entertainment,74,47,surprisetalk,2026-04-03 00:58:29,0.6266666666666667,False
47609241,Trinity Large Thinking,worldnews,52,17,kristianp,2026-04-03 00:58:30,0.32075471698113206,False
47603737,AI for American-produced cement and concrete,technology,214,116,latchkey,2026-04-03 00:58:33,0.5395348837209303,True
47599510,"Random numbers, Persian code: A mysterious signal transfixes radio sleuths",technology,123,120,thinkingemote,2026-04-03 00:58:34,0.967741935483871,False
47571183,Show HN: CLI to order groceries via reverse-engineered REWE API (Haskell),sports,196,80,wazHFsRy,2026-04-03 00:58:35,0.40609137055837563,True
47613668,Show HN: Abject: the first self-aware object runtime,worldnews,5,2,mempko,2026-04-03 00:58:36,0.3333333333333333,False
47612627,Zstandard Across the Stack,science,9,4,oddurmagnusson,2026-04-03 00:58:39,0.4,False
47613536,Show HN: I ran 28 OpenClaw instances as a team for 2 months,sports,8,5,TJ_FLEET,2026-04-03 00:58:40,0.5555555555555556,False
47616250,Ask HN: What is your dev set up like?,entertainment,7,8,break_the_bank,2026-04-03 00:58:41,1.0,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,37,6,ruevs,2026-04-03 00:58:42,0.15789473684210525,False
47601859,Ask HN: Who is hiring? (April 2026),entertainment,260,242,whoishiring,2026-04-03 00:58:43,0.9272030651340997,True
47615872,Protecting Your Host from Malicious Dependencies,worldnews,9,2,Brajeshwar,2026-04-03 00:58:44,0.2,False
47601858,Ask HN: Who wants to be hired? (April 2026),sports,78,219,whoishiring,2026-04-03 00:58:46,2.7721518987341773,False
47616414,Can a laptop beat Amazon's last mile routing system?,science,5,0,pantherolive,2026-04-03 00:58:47,0.0,False
47615145,Stripe closed my UAE business account and is withholding $3.5K,entertainment,11,0,alganzory,2026-04-03 00:58:48,0.0,False
47614384,Node.js Security Bug Bounty Program Paused,worldnews,14,0,0xedb,2026-04-03 00:58:49,0.0,False
47617028,Anthropic's AutoDream Is Flawed,sports,5,0,k1musab1,2026-04-03 00:58:50,0.0,False
47597935,CERN levels up with new superconducting karts,science,391,85,fnands,2026-04-03 00:58:51,0.21683673469387754,True
47539945,Consider the Greenland Shark (2020),entertainment,85,38,mooreds,2026-04-03 00:58:52,0.4418604651162791,False
47611455,What Exoskeleton Technology Learned from One User,worldnews,8,0,rbanffy,2026-04-03 00:58:53,0.0,False
47565307,Windows 95 defenses against installers that overwrite a file with an older one,sports,163,90,michelangelo,2026-04-03 00:58:55,0.5487804878048781,False
47574871,"Show HN: Zerobox – Sandbox any command with file, network, credential controls",entertainment,133,90,afshinmeh,2026-04-03 00:58:56,0.6716417910447762,False
47616260,Live and Let AI: Former CIA officer says human spies matter more in the LLM age,science,6,0,voxadam,2026-04-03 00:58:57,0.0,False
47600382,Is BGP safe yet?,worldnews,251,88,janandonly,2026-04-03 00:58:58,0.3492063492063492,True
47616242,Decisions that eroded trust in Azure – by a former Azure Core engineer,sports,10,3,axelriet,2026-04-03 00:58:59,0.2727272727272727,False
47552144,Ada and Spark on ARM Cortex-M – A Tutorial with Arduino and Nucleo Examples,science,62,21,swq115,2026-04-03 00:59:00,0.3333333333333333,False
47610740,Evolutionary Computation Bestiary,entertainment,13,1,emil-lp,2026-04-03 00:59:02,0.07142857142857142,False
47609294,The Claude Code Leak,worldnews,185,168,mergesort,2026-04-03 00:59:03,0.9032258064516129,True
47601555,Apple removes iPhone vibe coding app from app store,sports,59,57,randycupertino,2026-04-03 00:59:04,0.95,False
47592755,OpenAI closes funding round at an $852B valuation,science,523,486,surprisetalk,2026-04-03 00:59:05,0.9274809160305344,True
47558101,Bring Back MiniDV with This Raspberry Pi FireWire Hat,entertainment,124,28,ingve,2026-04-03 00:59:07,0.224,False
47605677,Signing data structures the wrong way,worldnews,116,51,malgorithms,2026-04-03 00:59:08,0.4358974358974359,False
